Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,NameWithAcronym,NameAlphabetizedWithAcronym,RecordID,Ops_PrincipalOfficerName,Ops_URL,HOO_PrincipalOfficerName,HOO_PrincipalOfficerTitle,HOO_PrincipalOfficerContactURL,HOO_PrincipalOfficerName,HOO_URL,merged_from,data_source,PO_Name_Status,URL_Status,Suggested_URL,Suggested_PrincipalOfficerName
Climate Change Adaptation Taskforce,,,,,,,,,,Climate Change Adaptation Taskforce,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000183,,,,,,,,,ops,conflict: HOO:  | OPS: ,match,,
Climate Mobilization Advisory Board,,,,,,,,,,Climate Mobilization Advisory Board,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000197,,,,,,,,,ops,conflict: HOO:  | OPS: ,match,,
Commercial Waste Zone Safety Task Force,,,,,,,,,,Commercial Waste Zone Safety Task Force,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000213,,,,,,,,,ops,conflict: HOO:  | OPS: ,match,,
Commission to Combat Police Corruption,"Combat Police Corruption, Commission to",Commission to Combat Police Corruption,,"Police Corruption, Commission To Combat",Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption (CCPC),Commission to Combat Police Corruption,Commission to Combat Police Corruption,Active,"Advisory, Oversight, or Regulatory Body","The Commission to Combat Police Corruption was created in 1995 as a permanent board to monitor and evaluate the anti-corruption programs, activities, commitment, and efforts of the New York City Police Department, and is completely independent of the NYPD.",http://www.nyc.gov/ccpc,,Chief Counsel to the Mayor and City Hall,Mayoral Executive Order,"Executive Order 18, 1995",https://a860-gpp.nyc.gov/concern/nyc_government_publications/x920fw966?locale=en,This Executive Order by the Mayor announces the Establishment of the Commission to Combat Police Corruption.,,,CCPC,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Commission+to+Combat+Police+Corruption+%28CCPC%29,,1995.0,,commission-to-combat-police-corruption,2024-07-29,,,Commission to Combat Police Corruption (CCPC),"Combat Police Corruption, Commission to (CCPC)",OPS_000188,,https://www1.nyc.gov/site/ccpc/index.page?msclkid=7e93992abc0d11eca30dcd9c60255b10,Kathy Hirata Chin,Acting Chair,https://www.nyc.gov/site/ccpc/about/email-the-chairperson.page,Kathy Hirata Chin,https://www.nyc.gov/site/ccpc/index.page,"[{'id': 'HOO_000034', 'name': 'Commission to Combat Police Corruption (CCPC)', 'score': None}]",ops,conflict: HOO: Kathy Hirata Chin | OPS: ,conflict: URL: http://www.nyc.gov/ccpc | HOO_URL: https://www.nyc.gov/site/ccpc/index.page | Ops_URL: https://www1.nyc.gov/site/ccpc/index.page?msclkid=7e93992abc0d11eca30dcd9c60255b10,https://www.nyc.gov/site/ccpc/index.page,Kathy Hirata Chin
Commission on Community Reinvestment and the Closure of Rikers Island,,,,,,,,,,Commission on Community Reinvestment and the Closure of Rikers Island,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000189,,,,,,,,,ops,conflict: HOO:  | OPS: ,match,,
Commission on Gender Equity,"Gender Equity, Commission on",,,,Commission on Gender Equality (CGE),,Commission on Gender Equity (CGE),Commission on Gender Equity (CGE),Commission on Gender Equity (CGE),Commission on Gender Equity,Commission on Gender Equity,Active,"Advisory, Oversight, or Regulatory Body","Mayor de Blasio established New York City’s Commission on Gender Equity (CGE) through Executive Order Number 10. This Commission is an advisory body that supports City agencies in dismantling institutional barriers for women and girls regardless of race, ethnicity, class, gender identity and sexual orientation and helps achieve the Mayor’s commitment to reduce gender-based inequity.",http://www.nyc.gov/genderequity,,Mayor's Office of Equity and Racial Justice,New York City Charter,"Chapter 1, Section 20-b",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5699,"There shall be a commission on gender equity to study the nature and extent of inequities facing women, girls, transgender, intersex, gender non-conforming and non-binary individuals in the city; to study the impact of such inequities on the economic, civic and social well-being of women, girls, transgender, intersex, gender non-conforming and non-binary individuals; to advise on ways to analyze the function and composition of city agencies through a gender-based lens and ways to develop equitable recruitment strategies; and to make recommendations to the mayor and the council for the reduction of gender-based inequality. Such commission shall consist of 26 members appointed by the mayor; five members appointed by the speaker of the council; and the chair of the commission on human rights, who shall serve as an ex officio member. Members of the commission shall be representative of the population of the city of New York and shall have experience in advocating for issues important to women, girls, transgender, intersex, gender non-conforming and non-binary individuals. The mayor shall designate one member to serve as chair of the commission, and may also designate a member to serve as co-chair. Members shall serve at the pleasure of the appointing authority. In the event of the death or resignation of any member, a successor shall be appointed by the official who appointed such member. The mayor shall appoint an executive director for the commission.",,,CGE,,,,,2015.0,,commission-on-gender-equity,2024-07-29,,,Commission on Gender Equity (CGE),"Gender Equity, Commission on (CGE)",OPS_000195,,https://www1.nyc.gov/site/genderequity/index.page?msclkid=d039ef1fbc0d11eca67c346962b000e0,Position Vacant (Not yet appointed by mayor),Execuitive Director,https://www.nyc.gov/site/genderequity/contact/contact.page,Position Vacant (Not yet appointed by mayor),https://www.nyc.gov/content/genderequity/pages/,"[""OPS_000195"", ""REC_000038""]",ops,conflict: HOO: Position Vacant (Not yet appointed by mayor) | OPS: ,conflict: URL: http://www.nyc.gov/genderequity | HOO_URL: https://www.nyc.gov/content/genderequity/pages/ | Ops_URL: https://www1.nyc.gov/site/genderequity/index.page?msclkid=d039ef1fbc0d11eca67c346962b000e0,https://www.nyc.gov/content/genderequity/pages/,Position Vacant (Not yet appointed by mayor)
Commission on Public Information and Communication,,,,,,,,,,Commission on Public Information and Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000199,,https://council.nyc.gov/public-advocate/copic/?msclkid=1d42ea34bc0e11ecb5e410c72c9d2b55,,,,,,,ops,conflict: HOO:  | OPS: ,conflict: URL: nan | HOO_URL: nan | Ops_URL: https://council.nyc.gov/public-advocate/copic/?msclkid=1d42ea34bc0e11ecb5e410c72c9d2b55,https://council.nyc.gov/public-advocate/copic/?msclkid=1d42ea34bc0e11ecb5e410c72c9d2b55,
Commission on Racial Equity,"Racial Equity, Commission on",Commission on Racial Equity,,,NYC Commission on Racial Equity,,NYC Commission on Racial Equity,NYC Commission on Racial Equity,,Commission on Racial Equity,,Active,"Advisory, Oversight, or Regulatory Body","The Commission on Racial Equity is a new independent 15-member commission responsible for holding government accountable to advancing racial equity in government operations and uplifting community voices in government decision making. CORE provides accountability for New Yorkers, regularly evaluating the City’s progress on its racial requirements and goals. CORE will be composed of diverse New Yorkers with equity expertise and/or relevant lived experience, serving as a conduit to bring historically excluded communities and voices into government decision-making. CORE’s independent commission composed of 15 commissioners, including one Chair Executive Director, jointly appointed by the Mayor and New York City Council Speaker. Other CORE commissioners will be appointed by the Mayor, City Council Speaker, City Comptroller, and Public Advocate. City officials appointing commissioners to CORE are required to consider individuals that represent or have advocated for historically excluded voices, including people with lived experience of marginalization and individuals who have never served on a government board or commission before.",https://www.nyc.gov/content/core/pages/,,Independent,New York City Charter,"Chapter 78, Section 3403",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6480,"There shall be established a commission on racial equity, the purpose of which is to enable community members with equity expertise or lived experience relevant to the goal of equity to propose priorities for racial equity in city decision-making and policy and assess performance towards those priorities. b.   Membership of the commission; appointments; executive director; staff. The commission shall consist of 15 members, including the chair, appointed as follows: seven members of the commission shall be appointed by the mayor; five members of the commission, each of whom shall be a resident of a different borough, shall be appointed by the speaker of the city council; one member of the commission shall be appointed by the public advocate; and one member of the commission shall be appointed by the comptroller. The chair of the commission, who shall be jointly appointed by the mayor and speaker, shall also serve as executive director. The chair shall have charge of the organization of the commission's office and have authority to employ, assign and superintend the duties of such officers and employees as may be necessary to carry out the provisions of this section. The chair shall devote their full time to the position and shall be entitled to compensation for the position.",,,CORE,,,,,2022.0,,commission-on-racial-equity,2024-07-29,,,Commission on Racial Equity (CORE),"Racial Equity, Commission on (CORE)",OPS_000019,Linda Tigani,,Linda Tigani,Chair & Executive Director,https://www.nyc.gov/content/core/pages/contact-us,Linda Tigani,https://www.nyc.gov/content/core/pages/,"[""OPS_000019"", ""REC_000154""]",ops,match,conflict: URL: https://www.nyc.gov/content/core/pages/ | HOO_URL: https://www.nyc.gov/content/core/pages/ | Ops_URL: nan,https://www.nyc.gov/content/core/pages/,Linda Tigani
Commission on Women's Issues,"Women's Issues, Commission on",,,,,Commission on Women’s Issues (CWI),,,,,,Active,"Advisory, Oversight, or Regulatory Body",,"https://council.nyc.gov/committees/women-and-gender-equality/#:~:text=The%20Committee%20on%20Women%20and,the%20Commission%20on%20Gender%20Equity.",,Independent,New York City Charter,"Chapter 1, Section 20-b",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5699,"There shall be a commission on gender equity to study the nature and extent of inequities facing women, girls, transgender, intersex, gender non-conforming and non-binary individuals in the city; to study the impact of such inequities on the economic, civic and social well-being of women, girls, transgender, intersex, gender non-conforming and non-binary individuals; to advise on ways to analyze the function and composition of city agencies through a gender-based lens and ways to develop equitable recruitment strategies; and to make recommendations to the mayor and the council for the reduction of gender-based inequality. Such commission shall consist of 26 members appointed by the mayor; five members appointed by the speaker of the council; and the chair of the commission on human rights, who shall serve as an ex officio member. Members of the commission shall be representative of the population of the city of New York and shall have experience in advocating for issues important to women, girls, transgender, intersex, gender non-conforming and non-binary individuals. The mayor shall designate one member to serve as chair of the commission, and may also designate a member to serve as co-chair. Members shall serve at the pleasure of the appointing authority. In the event of the death or resignation of any member, a successor shall be appointed by the official who appointed such member. The mayor shall appoint an executive director for the commission.",,,CWI,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Commission+on+Women%27s+Issues+%28CWI%29,,1975.0,,commission-on-womens-issues,2024-07-29,,,Commission on Women's Issues (CWI),"Women's Issues, Commission on (CWI)",REC_000040,,,,,,,,,nyc_agencies_export,conflict: HOO:  | OPS: ,"conflict: URL: https://council.nyc.gov/committees/women-and-gender-equality/#:~:text=The%20Committee%20on%20Women%20and,the%20Commission%20on%20Gender%20Equity. | HOO_URL: nan | Ops_URL: nan","https://council.nyc.gov/committees/women-and-gender-equality/#:~:text=The%20Committee%20on%20Women%20and,the%20Commission%20on%20Gender%20Equity.",
Committee on City Healthcare Services,"City Healthcare Services, Committee on",,,,,,,,,Committee on City Healthcare Services,,Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 1, Section 20-e",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5700,"There shall be a committee on city healthcare services established by the mayor, or the mayor's designee, to review community-based health indicators in New York city, and evaluate community-level health needs that can be addressed by city healthcare services.",,,,,,,,2018.0,,committee-on-city-healthcare-services,2024-07-29,,,Committee on City Healthcare Services,"City Healthcare Services, Committee on",OPS_000186,,,,,,,,,ops,conflict: HOO:  | OPS: ,match,,
Community Action Board – Dept. of Youth and Community Development,,,,,,,,,,Community Action Board – Dept. of Youth and Community Development,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000175,,https://www1.nyc.gov/site/dycd/involved/boards-and-councils/community-action-board.page?msclkid=7fd83ab6bc0b11ecb722b0aa7b9f6eb8,,,,,,,ops,conflict: HOO:  | OPS: ,conflict: URL: nan | HOO_URL: nan | Ops_URL: https://www1.nyc.gov/site/dycd/involved/boards-and-councils/community-action-board.page?msclkid=7fd83ab6bc0b11ecb722b0aa7b9f6eb8,https://www1.nyc.gov/site/dycd/involved/boards-and-councils/community-action-board.page?msclkid=7fd83ab6bc0b11ecb722b0aa7b9f6eb8,
Community Affairs Unit,"Community Affairs Unit, Mayor's",Mayor's Community Affairs Unit,,,Community Affairs Unit (CAU),Mayor’s Community Affairs Unit (CAU),Community Affairs Unit (CAU),Community Affairs Unit (CAU),Mayor's Community Affairs Unit (CAU),Community Affairs Unit,Community Affairs Unit,Active,Mayoral Office,The Community Affairs Unit works with neighborhood groups and City Agencies to improve the quality of life in NYC by delivering services more efficiently.,http://www.nyc.gov/cau,Office of Engagement,Office of Engagement,Mayoral Executive Order,"Executive Order 105, 2007",https://a860-gpp.nyc.gov/concern/nyc_government_publications/zp38wc87c?locale=en,This Executive Order by the Mayor announces the changing of the name of the Mayor's Community Assistance Unit to the Mayor's Community Affairs Unit.,,,CAU,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Community+Affairs+Unit+%28CAU%29,,2011.0,,mayors-community-affairs-unit,2024-07-29,,,Mayor's Community Affairs Unit (CAU),"Community Affairs Unit, Mayor's (CAU)",OPS_000011,Fred Kreizman,https://www1.nyc.gov/site/cau/index.page?msclkid=de949502bc0b11ecb5fea6d85cf7f001,Fred Kreizman,Commissioner,https://www.nyc.gov/site/cau/connected/contact-cau.page,Fred Kreizman,https://www.nyc.gov/site/cau/index.page,"[""OPS_000011"", ""REC_000102""]",ops,match,conflict: URL: http://www.nyc.gov/cau | HOO_URL: https://www.nyc.gov/site/cau/index.page | Ops_URL: https://www1.nyc.gov/site/cau/index.page?msclkid=de949502bc0b11ecb5fea6d85cf7f001,https://www.nyc.gov/site/cau/index.page,Fred Kreizman
Community Boards,Community Boards,,,,Community Boards (CB),,Community Boards (CB),Community Boards (CB),,Community Boards,,Active,"Advisory, Oversight, or Regulatory Body","Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",https://www.nyc.gov/site/communityboards/index.page,Department of Youth and Community Development,Borough Presidents,New York City Charter,"Chapter 70, Section 2800",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4249,"For each community district created pursuant to chapter sixty-nine there shall be a community board which shall consist of (1) not more than fifty persons appointed by the borough president, at least one-half of whom shall be appointed from nominees of the council members elected from council districts which include any part of the community district, and (2) all such council members as non-voting members. The number of members appointed on the nomination of each such council member shall be proportional to the share of the district population represented by such council member. The city planning commission, after each council redistricting pursuant to chapter two-A, and after each community redistricting pursuant to section twenty-seven hundred two, shall determine the proportion of the community district's population represented by each council member. Copies of such determinations shall be filed with the appropriate borough president, community board, and council member. Members appointed to community boards shall be appointed to serve staggered terms of two years. One-half of the members appointed to any community board shall serve for a term of two years beginning on the first day of April in each odd-numbered year in which they take office and one half of the members appointed to any community board shall serve for a term of two years beginning on the first day of April in each even-numbered year in which they take office. Members shall serve until their successors are appointed but no member may serve for more than sixty days after the expiration of his or her original term unless reappointed by the borough president, and provided further that no person shall be eligible to be appointed as a community board member if that person has previously held such appointment for four or more consecutive full terms that commenced on or after April 1, 2019, unless one full term or more has elapsed since that person last held such office; provided however, that in the case of a community board member appointed or re-appointed for a term that commenced on April 1, 2020, the borough president may appoint such member for up to five consecutive terms commencing on such date. Not more than twenty-five percent of the appointed members shall be city employees. No more than two members shall be less than eighteen years of age. No person shall be appointed to or remain as a member of the board who does not have a residence, business, professional or other significant interest in the district. The borough president shall assure adequate representation from the different geographic sections and neighborhoods within the community district. In making such appointments, the borough president shall consider whether the aggregate of appointments fairly represents all segments of the community. The borough president shall seek out persons of diverse backgrounds, including with regard to race, ethnicity, gender, age, disability status, sexual orientation, language, and other characteristics the borough president deems relevant to promoting diversity and inclusion of under-represented groups and communities within community boards, to apply for appointment. Community boards, civic groups and other community groups and neighborhood associations may submit nominations to the borough president and to council members.",,,CB,,,,,1951.0,,community-boards,2024-07-29,,,Community Boards (CB),Community Boards (CB),OPS_000396,,,Fred Kreizman,"Commissioner, Community Affairs Unit (CAU)",https://www.nyc.gov/nyc-resources/mail/cau-email-the-commissioner.page,Fred Kreizman,https://www.nyc.gov/site/cau/index.page,"[""OPS_000396"", ""REC_000041""]",ops,conflict: HOO: Fred Kreizman | OPS: ,conflict: URL: https://www.nyc.gov/site/communityboards/index.page | HOO_URL: https://www.nyc.gov/site/cau/index.page | Ops_URL: nan,https://www.nyc.gov/site/cau/index.page,Fred Kreizman
Community Services Board,,,,,,,,,,Community Services Board (formerly known as Mental Hygiene Advisory Board),,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000203,,https://www3.erie.gov/mentalhealth/community-services-board-and-subcommittees?msclkid=67c35d80bc0e11ec9b403c1fb160ad81,,,,,,,ops,conflict: HOO:  | OPS: ,conflict: URL: nan | HOO_URL: nan | Ops_URL: https://www3.erie.gov/mentalhealth/community-services-board-and-subcommittees?msclkid=67c35d80bc0e11ec9b403c1fb160ad81,https://www3.erie.gov/mentalhealth/community-services-board-and-subcommittees?msclkid=67c35d80bc0e11ec9b403c1fb160ad81,
Community Services Board - Developmental Disabilities Subcommittee,,,,,,,,,,Community Services Board - Developmental Disabilities Subcommittee,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000204,,https://www3.erie.gov/mentalhealth/community-services-board-and-subcommittees?msclkid=67c35d80bc0e11ec9b403c1fb160ad81,,,,,,,ops,conflict: HOO:  | OPS: ,conflict: URL: nan | HOO_URL: nan | Ops_URL: https://www3.erie.gov/mentalhealth/community-services-board-and-subcommittees?msclkid=67c35d80bc0e11ec9b403c1fb160ad81,https://www3.erie.gov/mentalhealth/community-services-board-and-subcommittees?msclkid=67c35d80bc0e11ec9b403c1fb160ad81,
Community Services Board - Mental Health Subcommittee,,,,,,,,,,Community Services Board - Mental Health Subcommittee,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000205,,https://www3.erie.gov/mentalhealth/community-services-board-and-subcommittees?msclkid=67c35d80bc0e11ec9b403c1fb160ad81,,,,,,,ops,conflict: HOO:  | OPS: ,conflict: URL: nan | HOO_URL: nan | Ops_URL: https://www3.erie.gov/mentalhealth/community-services-board-and-subcommittees?msclkid=67c35d80bc0e11ec9b403c1fb160ad81,https://www3.erie.gov/mentalhealth/community-services-board-and-subcommittees?msclkid=67c35d80bc0e11ec9b403c1fb160ad81,
Community Services Board - Substance Use Subcommittee,,,,,,,,,,Community Services Board - Substance Use Subcommittee,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000206,,https://www3.erie.gov/mentalhealth/community-services-board-and-subcommittees?msclkid=67c35d80bc0e11ec9b403c1fb160ad81,,,,,,,ops,conflict: HOO:  | OPS: ,conflict: URL: nan | HOO_URL: nan | Ops_URL: https://www3.erie.gov/mentalhealth/community-services-board-and-subcommittees?msclkid=67c35d80bc0e11ec9b403c1fb160ad81,https://www3.erie.gov/mentalhealth/community-services-board-and-subcommittees?msclkid=67c35d80bc0e11ec9b403c1fb160ad81,
Comptroller,"Comptroller, Office of the",Office of the Comptroller,Office of the Comptroller,Comptroller,Comptroller (COMP),Office of the Comptroller (COMPTROLLER),Comptroller (COMP),Comptroller (COMP),Office of the Comptroller (COMPTROLLER),Comptroller,Office of the Comptroller,Active,Elected Office,"The Comptroller is responsible for conducting performance and financial audits of all City agencies; serving as a fiduciary to the City’s five public pension funds totaling nearly $140 billion in assets; providing comprehensive oversight of the City’s budget and fiscal condition; reviewing City contracts for integrity, accountability and fiscal compliance; managing the fair, efficient and effective resolution of claims; ensuring transparency and accountability in the prevailing wage rate-setting process and vigorously enforcing prevailing wage and living wage laws; and promoting innovative policies that enhance City government’s efficiency, integrity and performance for all New Yorkers.",http://comptroller.nyc.gov/,,The People of the City of New York,New York City Charter,"Chapter 5, Section 91",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-533,The comptroller shall be elected by the electors of the city at the same time and for the same terms as in this charter prescribed for the mayor. A comptroller who resigns or is removed from office prior to completion of a full term shall be deemed to have served a full term for purposes of section 1138 of the charter. The salary of the comptroller shall be two hundred nine thousand fifty dollars a year.,,,,,15.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+the+Comptroller+%28COMPTROLLER%29,,1803.0,,office-of-the-comptroller,2024-07-29,,,Office of the Comptroller,"Comptroller, Office of the",OPS_000398,,,Brad Lander,Comptroller ,https://comptroller.nyc.gov/about/contact-our-office/,Brad Lander,https://comptroller.nyc.gov/,"[""OPS_000398"", ""REC_000180""]",ops,conflict: HOO: Brad Lander | OPS: ,conflict: URL: http://comptroller.nyc.gov/ | HOO_URL: https://comptroller.nyc.gov/ | Ops_URL: nan,https://comptroller.nyc.gov/,Brad Lander
Conflicts of Interest Board,Conflicts of Interest Board,Conflicts of Interest Board,Conflicts of Interest Board,Conflicts of Interest Board,Conflicts of Interest Board (COIB),Conflicts of Interest Board (COIB),Conflicts of Interest Board (COIB),Conflicts of Interest Board (COIB),Conflicts of Interest Board (COIB),Conflicts of Interest Board,Conflicts of Interest Board,Active,"Advisory, Oversight, or Regulatory Body",The Conflicts of Interest Board administers the City's conflicts of interest and financial disclosure laws.,http://www.nyc.gov/conflicts,,Chief Counsel to the Mayor and City Hall,New York City Charter,"Chapter 68, Section 2602",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6596,"There shall be a conflicts of interest board consisting of five members. Three members shall be appointed by the mayor, one member shall be appointed by the public advocate, and one member shall be appointed by the comptroller. All members shall be appointed with the advice and consent of the council. The mayor shall designate a chair.",,,COIB,,312.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Conflicts+of+Interest+Board+%28COIB%29,,1989.0,,conflicts-of-interest-board,2024-07-29,,,Conflicts of Interest Board (COIB),Conflicts of Interest Board (COIB),OPS_000198,,https://www1.nyc.gov/site/coib/about/about-coib.page?msclkid=0c70b30cbc0e11ec98f24ac74f4cd007,Carolyn Miller,Executive Director ,https://www.nyc.gov/site/coib/contact/email-the-executive-director.page,Carolyn Miller,https://www.nyc.gov/site/coib/index.page,"[{'id': 'HOO_000039', 'name': 'Conflicts of Interest Board (COIB)', 'score': None}]",ops,conflict: HOO: Carolyn Miller | OPS: ,conflict: URL: http://www.nyc.gov/conflicts | HOO_URL: https://www.nyc.gov/site/coib/index.page | Ops_URL: https://www1.nyc.gov/site/coib/about/about-coib.page?msclkid=0c70b30cbc0e11ec98f24ac74f4cd007,https://www.nyc.gov/site/coib/index.page,Carolyn Miller
Convention Center Development Corporation,,,,,,,,,,Convention Center Development Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000184,,https://esd.ny.gov/new-york-convention-center-development-corporation-0?msclkid=19dc638fbc0c11ecb973eb8b56a3e9e1,,,,,,,ops,conflict: HOO:  | OPS: ,conflict: URL: nan | HOO_URL: nan | Ops_URL: https://esd.ny.gov/new-york-convention-center-development-corporation-0?msclkid=19dc638fbc0c11ecb973eb8b56a3e9e1,https://esd.ny.gov/new-york-convention-center-development-corporation-0?msclkid=19dc638fbc0c11ecb973eb8b56a3e9e1,
Convention Center Operating Corporation (Javits),,,,,,,,,,Convention Center Operating Corporation (Javits),,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000187,,,,,,,,,ops,conflict: HOO:  | OPS: ,match,,
Council for Airport Opportunity - Board of Directors,,,,,,,,,,Council for Airport Opportunity - Board of Directors,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000179,,https://www.caonynj.com/history/,,,,,,,ops,conflict: HOO:  | OPS: ,conflict: URL: nan | HOO_URL: nan | Ops_URL: https://www.caonynj.com/history/,https://www.caonynj.com/history/,
Chief Counsel to the Mayor and City Hall,"Chief Counsel to the Mayor and City Hall, Office of the",Chief Counsel to the Mayor,,,Mayor's Office - Chief Counsel to the Mayor and City Hall,,"Counsel to the Mayor, Office of","Counsel to the Mayor, Office of",,Counsel to the Mayor,Counsel to the Mayor,Active,Mayoral Office,"The Counsel to the Mayor and City Hall advises the Mayor on legal matters involving City Hall and the executive staff, as well as provide counsel to the Mayor on legal aspects of policy and administrative matters.",https://www1.nyc.gov/site/counseltothemayor/index.page,Mayor's Office,Mayor's Office,New York City Charter,"Chapter 17, Section 391",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1595,There shall be a law department the head of which shall be the corporation counsel.,,Office of the Chief Counsel to the Mayor,,,2.0,,,1665.0,,office-of-the-chief-counsel-to-the-mayor-and-city-hall,2024-07-29,,,Office of the Chief Counsel to the Mayor and City Hall,"Chief Counsel to the Mayor and City Hall, Office of the",OPS_000002,Lisa Zornberg,https://www1.nyc.gov/site/counseltothemayor/index.page,Lisa Zornberg,Chief Counsel to the Mayor and City Hall,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,Lisa Zornberg,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,"[""OPS_000002"", ""REC_000104""]",ops,match,conflict: URL: https://www1.nyc.gov/site/counseltothemayor/index.page | HOO_URL: https://www.nyc.gov/office-of-the-mayor/admin-officials.page | Ops_URL: https://www1.nyc.gov/site/counseltothemayor/index.page,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,Lisa Zornberg
Office of Creative Communications,,,,,,,,,,Creative Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000020,Michael Appleton,,,,,,,,ops,conflict: HOO:  | OPS: Michael Appleton,match,,Michael Appleton
Cultural Affairs Advisory Commission,,,,,,,,,,Cultural Affairs Advisory Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000174,,https://www1.nyc.gov/site/dcla/about/advisory-commission.page?msclkid=67d77496bc0b11ec9381225156c06d9c,,,,,,,ops,conflict: HOO:  | OPS: ,conflict: URL: nan | HOO_URL: nan | Ops_URL: https://www1.nyc.gov/site/dcla/about/advisory-commission.page?msclkid=67d77496bc0b11ec9381225156c06d9c,https://www1.nyc.gov/site/dcla/about/advisory-commission.page?msclkid=67d77496bc0b11ec9381225156c06d9c,
Cultural Institutions Retirement System - Board of Trustees,,,,,,,,,,Cultural Institutions Retirement System - Board of Trustees,,,,,,,,,,,,,,,,,,,,,,,,,,,OPS_000196,,https://cirsplans.org/about/ ,,,,,,,ops,conflict: HOO:  | OPS: ,conflict: URL: nan | HOO_URL: nan | Ops_URL: https://cirsplans.org/about/,https://cirsplans.org/about/,
